stop_id;STOP_NAME
RTP:SA:1930;EDGAR-QUINET
RTP:SA:3672177;EDOUARD VAILLANT
RTP:SA:3893534;EGLISE D'AUTEUIL
RTP:SA:3749705;EGLISE SAINT-FERDINAND
RTP:SA:3687121;EGLISE SAINT-GERVAIS
RTP:SA:3690057;EGLISE ST-GERMAIN DE CHARONNE
RTP:SA:3764715;EL SALVADOR
RTP:SA:3887740;ELLA FITZGERALD - GRANDS MOULINS DE PANTIN
RTP:SA:3750042;EMILE BERTIN
RTP:SA:3887748;EMILE DURKHEIM
RTP:SA:3764467;EMILE ZOLA-JAVEL
RTP:SA:3672173;ERIGNAC
RTP:SA:3813179;ERNEST HEBERT
RTP:SA:3687104;ESPLANADE DES INVALIDES
RTP:SA:4024536;ETANG DE L'ABBAYE
RTP:SA:1934;ETIENNE MARCEL
RTP:SA:3747823;ETIENNE MARCEL - MONTMARTRE
RTP:SA:4016448;EUGENE SUE
RTP:SA:1935;EUROPE
RTP:SA:3750026;EVANGILE - AUBERVILLIERS
RTP:SA:1936;EXELMANS
RTP:SA:3747856;FABRE D'EGLANTINE
RTP:SA:3926157;FACULTE XAVIER BICHAT
RTP:SA:3687259;FAIDHERBE
RTP:SA:3343789;FAIDHERBE-CHALIGNY
RTP:SA:3764484;FALGUIERE
RTP:SA:1938;FALGUIERE
RTP:SA:3740503;FAUBOURG SAINT-DENIS
RTP:SA:3893524;FELIX FAURE
RTP:SA:3764820;FEUILLANTINES
RTP:SA:3343779;FILLES DU CALVAIRE
RTP:SA:3749995;FIRMIN GEMIER
RTP:SA:3765029;FLANDRE
RTP:SA:4035800;FLANDRE-ALPHONSE KARR
RTP:SA:4024525;FLEURISTE MUNICIPAL
RTP:SA:3893426;FLEURUS
RTP:SA:3749989;FLOREAL
RTP:SA:3813006;FOCH
RTP:SA:3673634;FOLIE REGNAULT - CHEMIN VERT
RTP:SA:3749890;FONDARY
RTP:SA:4978235;FONDATION L VUITTON
RTP:SA:3747921;FONTAINE AU ROI
RTP:SA:3764717;FONTENOY - UNESCO
RTP:SA:1945;FRANKLIN-ROOSEVELT
RTP:SA:3750020;FREDERIC BRUNET
RTP:SA:3619839;FRERES LUMIERE
RTP:SA:3807604;FRERES VOISIN
RTP:SA:3749698;FRIEDLAND - HAUSSMANN
RTP:SA:3764440;FROIDEVAUX-GASSENDI
RTP:SA:2090;FUNICULAIRE GARE BASSE
RTP:SA:3343746;FELIX FAURE
RTP:SA:3749657;GABRIELLE
RTP:SA:1948;GAITE
RTP:SA:3749895;GAL DE BOLLARDIERE
RTP:SA:1659;GAMBETTA
RTP:SA:3750002;GANNERON - DAMES
RTP:SA:1951;GARE D'AUSTERLITZ
RTP:SA:4008248;GARE D'AUTEUIL
RTP:SA:3716923;GARE DE BERCY - POPB
RTP:SA:4044988;GARE DE L'EST
RTP:SA:2076;GARE DE L'EST (VERDUN)
RTP:SA:4996968;GARE DE L'EST
RTP:SA:1166832;GARE DE LYON
RTP:SA:3764604;GARE DU NORD
RTP:SA:3749769;GARE DU NORD - DUNKERQUE
TRN:SA:DUA8727103;GARE DU NORD SURFACE
RTP:SA:3741053;GARE DU NORD
RTP:SA:3716873;GARE SAINT-LAZARE
TRN:SA:DUA8739110;GARE VAUGIRARD
RTP:SA:3926424;GENERAL COCHET
RTP:SA:3812990;GENERAL DETRIE
RTP:SA:3749709;GENERAL KOENIG - PALAIS DES CONGRES
RTP:SA:4008244;GEORGE SAND - LA FONTAINE
RTP:SA:1961;GEORGE V
RTP:SA:3813508;GEORGES BRASSENS
RTP:SA:4016542;GERARD DE NERVAL
RTP:SA:3764825;GLACIERE - ARAGO
RTP:SA:3754202;GLACIERE - TOLBIAC
RTP:SA:1962;GLACIERE
RTP:SA:5018188;GLUCK - HAUSSMANN
RTP:SA:3747964;GODEFROY - CAVAIGNAC
RTP:SA:1963;GONCOURT (HOPITAL SAINT-LOUIS)
RTP:SA:3926141;GOURGAUD - PAUL ADAM
RTP:SA:4008209;GRAND PALAIS
RTP:SA:3749785;GRANDS BOULEVARDS
RTP:SA:3747916;GRANGE AUX BELLES - JULIETTE DODU
RTP:SA:3687101;GRENELLE - BELLECHASSE
RTP:SA:3747826;GRENIER SAINT-LAZARE - QUARTIER DE L'HORLOGE
RTP:SA:1888;GUY-MOQUET
RTP:SA:3442428;GUYNEMER-VAVIN
RTP:SA:3747931;GYMNASE JAPY
RTP:SA:3749945;HAMEAU
RTP:SA:3749697;HAUSSMANN - COURCELLES
RTP:SA:3749694;HAUSSMANN - MIROMESNIL
RTP:SA:4016338;HAUSSMANN - MOGADOR
RTP:SA:3740504;HAUTEVILLE
RTP:SA:3716874;HAVRE - HAUSSMANN
RTP:SA:1889;HAVRE-CAUMARTIN
RTP:SA:3687448;HENRI CHEVREAU
RTP:SA:4009390;HENRI FARMAN
RTP:SA:3749988;HERAULT DE SECHELLES
RTP:SA:3672233;HILSZ - LAGNY
RTP:SA:4024534;HIPPODROME DE LONGCHAMP
RTP:SA:3749700;HOCHE - SAINT-HONORE
RTP:SA:3442444;HOP NOTRE-DAME DE BON SECOURS - A CHANTIN
